ID Venda;Data/Hora;Produto;Quantidade;Preco Unitario (MT);Total Bruto (MT);Qtd. Estornada;Total Estornado (MT);Total Liquido (MT);Saldo Disponivel;Promocional;Criado Por;Perfil
22;31/03/2026 19:26;CLOVER ULTRA - FULL CREAM MILK;3.00;105.00;315.00;0.00;0.00;315.00;3.00;Nao;mirson;manager
21;31/03/2026 14:27;MAIZENA – 500G;3.00;283.33;850.00;0.00;0.00;850.00;3.00;Nao;mirson;manager
20;31/03/2026 14:14;LAVA LOICA MAX-400G;12.00;99.00;1188.00;0.00;0.00;1188.00;12.00;Nao;mirson;manager
19;31/03/2026 14:13;CLOVER ULTRA - FULL CREAM MILK;1.00;105.00;105.00;0.00;0.00;105.00;1.00;Nao;mirson;manager
18;17/02/2026 21:24;VINAGRE CEREAL GOURMET – 500ML;1.00;90.00;90.00;0.00;0.00;90.00;1.00;Nao;mirson;manager
17;17/02/2026 21:24;SPRAY ACTY MULTIUSO-750ML;1.00;120.00;120.00;0.00;0.00;120.00;1.00;Nao;mirson;manager
16;17/02/2026 21:24;MAIZENA – 500G;1.00;300.00;300.00;0.00;0.00;300.00;1.00;Nao;mirson;manager
15;17/02/2026 21:24;LAVA LOICA MAX-400G;1.00;99.00;99.00;0.00;0.00;99.00;1.00;Nao;mirson;manager
14;17/02/2026 21:24;ERVILHA COZIDA GOURMET-400G;3.00;255.00;765.00;0.00;0.00;765.00;3.00;Nao;mirson;manager
13;17/02/2026 21:24;CUSTARD POWDER MOIRS-250G;3.00;140.00;420.00;0.00;0.00;420.00;3.00;Nao;mirson;manager
12;16/02/2026 16:12;VINAGRE CEREAL GOURMET – 500ML;1.00;90.00;90.00;0.00;0.00;90.00;1.00;Nao;mirson;manager
11;16/02/2026 16:12;ERVILHA COZIDA GOURMET-400G;1.00;255.00;255.00;0.00;0.00;255.00;1.00;Nao;mirson;manager
10;16/02/2026 16:12;CUSTARD POWDER MOIRS-250G;1.00;140.00;140.00;0.00;0.00;140.00;1.00;Nao;mirson;manager
9;12/02/2026 19:13;CUSTARD POWDER MOIRS-250G;1.00;105.00;105.00;0.00;0.00;105.00;1.00;Nao;mirson;manager
8;12/02/2026 19:12;CUSTARD POWDER MOIRS-250G;5.00;105.00;525.00;0.00;0.00;525.00;5.00;Nao;mirson;manager
7;12/02/2026 18:46;OLEO DONA-2L;3.00;90.00;270.00;0.00;0.00;270.00;3.00;Nao;mirson;manager
6;12/02/2026 16:39;OLEO DONA-2L;3.00;120.00;360.00;0.00;0.00;360.00;3.00;Nao;mirson;manager
5;11/02/2026 14:34;BABA;12.00;15.00;180.00;0.00;0.00;180.00;12.00;Nao;mirson;manager
4;10/02/2026 22:08;MASSA;11.00;33.00;363.00;0.00;0.00;363.00;11.00;Nao;nga;manager
3;10/02/2026 22:07;CLOVER ULTRA - FULL CREAM MILK;2.00;110.00;220.00;0.00;0.00;220.00;2.00;Nao;nga;manager
2;10/02/2026 10:44;MASSA;6.00;33.00;198.00;0.00;0.00;198.00;6.00;Nao;SYSTEM;manager
1;10/02/2026 10:38;MASSA;3.00;33.00;99.00;0.00;0.00;99.00;3.00;Nao;SYSTEM;manager
